,LP1-Fx,LP1-Fy,LP1-Fz,LP1-Mx,LP1-My,LP1-Mz,LP2-Fx,LP2-Fy,LP2-Fz,LP2-Mx,LP2-My,LP2-Mz,LP3-Fx,LP3-Fy,LP3-Fz,LP3-Mx,LP3-My,LP3-Mz,LP4-Fx,LP4-Fy,LP4-Fz,LP4-Mx,LP4-My,LP4-Mz,,Knuckle_S,Bolt1_S,Bolt2_S,Bolt3_S,Bolt4_S,Bolt1_Loss,Bolt2_Loss,Bolt3_Loss,Bolt4_Loss,预紧力损失为百分比率分子
RandomSpace29,-2801.54,-484.41,-17076.1,0,0,0,25457.25,20052.43,-32360.11,0,0,0,4151.86,-7792.45,7398.41,-74402.35,-3931.06,11716.37,12629.17,-39894.53,3452.66,-52765.56,5391.3,-134371.38,,246.06,839.24,847.86,862.47,842.9,3.54,4.52,6.26,1.82,
RandomSpace30,-170.98,5729.29,15834.6,0,0,0,-29672.46,-11519.37,11669.5,0,0,0,2064.19,-28738.63,3299.34,-78215.61,-5839.22,9428.18,-3391.04,16265.79,-1246.93,27949.09,-11018.81,-159973.4,,255.86,840.54,857.5,898.29,846.38,3.97,4.28,17.48,4.99,
RandomSpace31,1340.03,-4261.85,-10533.42,0,0,0,10844.27,6610.44,3679.79,0,0,0,1471.86,28540.77,6147.23,-18848.01,-23528.67,-32051.18,12227.54,-5218.42,-6759.52,47061.33,4444.47,-160869.32,,251.16,850.04,859.88,874.59,865.65,3.5,6.37,8.22,5.74,
RandomSpace32,2467.93,-4275.61,-4736.73,0,0,0,-5710.61,-42487.59,-11219.99,0,0,0,4242.17,-21887.86,9081.41,48622.51,6622.9,-38516.2,-502.72,-2655.81,-6670.22,5197.43,28489.14,-35641.26,,236.4,838.36,837.02,837.98,837.53,2.6,0.98,0.74,8.06,
RandomSpace33,-2291.51,4859.93,-11660.14,0,0,0,21263.28,-34234.15,11835.17,0,0,0,1320,8715.52,-971.45,25888.4,8517.92,18256.27,-26.69,-19549.38,-1673.9,43882.31,43062.63,-185229.27,,245.92,842.22,857.79,882.39,849.25,2.79,7.5,10.37,4.61,
RandomSpace34,-2398.83,3095.3,-16784.62,0,0,0,-37737.18,-45456.03,13508.86,0,0,0,-757.19,-15222.49,5503.98,-55337.17,-19498.16,-84206.61,4730.16,252.85,-2635.1,-25298.28,-4444.39,-65676.38,,225.23,836.63,836.95,836.48,836.87,1.15,0.86,0.28,0.77,
RandomSpace35,2154.14,1958.11,-20760.49,0,0,0,16761.17,-16237.56,-8963.42,0,0,0,1250.16,-28441,9991.6,60873.08,7976.52,-49557.76,-1855.24,-19913.34,-4344.58,-23712.11,2459.26,-8379.35,,238.17,839.72,845.03,858.09,841.55,2.6,3.37,5.1,2.46,
RandomSpace36,-1505.83,-2849.78,-10229.62,0,0,0,25447.49,-9467.43,21628.01,0,0,0,1113.3,5626.37,-2389.28,111438.98,-21320.29,-47437.77,11542.37,-19352.89,2502.64,68609.99,6023.62,-161737.63,,257.18,859.18,862.84,890.03,876.61,4.48,6.47,12,9.02,
RandomSpace37,-3209.71,-4223.24,-7987.35,0,0,0,-31200.74,27612.27,3494.72,0,0,0,-438.86,5297.37,-480.92,51327.27,9595.3,-42540,13904.07,-20250.99,-4267.01,76504.5,21546.79,-126891.27,,249.92,839.25,842.2,838.51,848.27,3.61,1.49,3.14,23.36,
RandomSpace38,-1193.57,865.04,-4638.06,0,0,0,19081.12,-36570.49,-19895.95,0,0,0,3963.44,11935.03,4955.56,37051.16,-10583.04,-86998.64,8944.86,-14102.65,-3032.86,69191.79,675.17,-203439.62,,257.32,837.42,840.45,860.55,843.24,3.4,3.67,8.1,25.9,
